accel_x,accel_y,accel_z,angle_ankle,angle_knee,angle_shank,angle_thigh,current_ankle,current_knee,current_qaxis_ankle,current_qaxis_knee,ground_reaction_force_vertical,gyro_x,gyro_y,gyro_z,impedance_current_desired_ankle,impedance_current_desired_knee,impedance_damping_ankle,impedance_damping_knee,impedance_equilibrium_angle_ankle,impedance_equilibrium_angle_knee,impedance_stiffness_ankle,impedance_stiffness_knee,impedance_torque_desired_ankle,impedance_torque_desired_knee,loadcell_force_sagittal,loadcell_force_x,loadcell_force_y,loadcell_force_z,loadcell_moment_x,loadcell_moment_y,loadcell_moment_z,velocity_ankle,velocity_knee
0.2,-0.23519,0.36591,-0.51241,0.82556,-12.175,-13.004,0.3526,-0.2438,0.13389,-0.092576,0.15541,1.8059,28.219,-6.6604,0.010104,0.0049348,0.0039519,0.0048071,0,0,0.053053,0.047346,0.0007216,0.00037239,19.044,26.379,0.5536,92.124,-0.18846,-1.5188,-0.26374,-37.09,0.063683
0.7011,-0.37247,0.81688,-1.8689,1.6752,-24.096,-25.778,1.0523,-0.36677,0.39957,-0.13927,0.33878,-0.12917,56.878,-30.587,0.077538,0.015416,0.0039519,0.0048071,0,0,0.053053,0.047346,0.0055375,0.0011633,31.755,45.956,-1.0466,210.43,-0.23979,-4.4877,-0.72847,-89.205,-0.20316
0.60919,-0.12551,0.90287,-3.0028,1.4456,-20.366,-21.818,1.7731,-0.00069606,0.67327,-0.00026431,0.3552,-2.0966,51.812,-57.293,0.11232,0.012915,0.0039519,0.0048071,0,0,0.053053,0.047346,0.0080214,0.00097459,20.666,35.443,-6.2173,221.66,0.67288,-5.1923,-0.80829,-86.057,-2.5576
0.14779,-0.021314,1.2442,-4.234,1.5215,-21.077,-22.605,3.1504,0.25066,1.1963,0.09518,0.43545,-2.1673,61.17,-61.922,0.11534,0.012661,0.0039519,0.0048071,0,0,0.053082,0.047346,0.0082372,0.00095541,16.746,37.07,-13.387,276.01,2.0589,-6.2825,-0.99235,-76.868,-1.5655
-0.21977,0.15367,1.3554,-5.0461,1.4507,-19.171,-20.629,4.2488,0.40336,1.6134,0.15316,0.51061,-0.46328,61.748,-40.656,0.11304,0.014593,0.0039538,0.004809,0,0,0.053119,0.047447,0.0080727,0.0011012,7.4834,31.69,-21.107,324.6,3.49,-7.1028,-1.2788,-58.525,0.53967
-0.37548,0.058297,1.2815,-5.8238,1.4999,-18.841,-20.348,5.2721,0.44984,2.0019,0.17081,0.63926,3.2116,60.42,-14.797,0.10423,0.015253,0.0039458,0.0048229,0,0,0.053149,0.047841,0.0074438,0.001151,2.4611,32.499,-29.019,407.99,4.7226,-7.1831,-1.6715,-38.857,0.17517
-0.32779,-0.073637,1.1838,-6.1238,1.4451,-17.567,-19.019,5.6226,0.46315,2.135,0.17586,0.76363,4.1916,54.128,-3.0561,0.088984,0.012904,0.0039061,0.0048453,0,0,0.053182,0.0483,0.006355,0.00097373,2.1874,37.596,-34.503,484.12,5.2468,-5.6263,-1.8793,-13.547,-3.0292
-0.13769,-0.03841,1.097,-6.0862,1.357,-16.999,-18.364,5.2981,0.38095,2.0118,0.14465,0.89053,4.5485,49.329,-1.0219,0.068365,0.006585,0.0038673,0.0048605,0,0,0.053234,0.04859,0.0048824,0.00049691,10.121,53.171,-38.858,560.55,5.5771,-2.5481,-1.9424,9.0365,-9.5952
0.088725,-0.0069894,1.0004,-5.7525,1.1407,-16.138,-17.286,4.542,0.19993,1.7247,0.075916,0.99079,3.6987,45.903,-1.061,0.046442,-0.0027352,0.0038596,0.0048622,0,0,0.053303,0.048622,0.0033167,-0.0002064,21.605,73.536,-42.982,618.05,6.1185,1.276,-1.9474,29.792,-17.41
0.25601,0.041354,0.96877,-5.2349,0.85019,-15.528,-16.385,3.5504,-0.087414,1.3482,-0.033193,1.0589,2.1943,46.602,-1.856,0.029013,-0.01184,0.0038588,0.0048622,0,0,0.053394,0.048622,0.002072,-0.00089349,33.341,94.131,-46.981,655.91,6.9253,4.6546,-1.9873,40.842,-22.609
0.33587,0.02663,0.93934,-4.5835,0.52794,-14.748,-15.284,2.4784,-0.41322,0.94109,-0.15691,1.1008,0.80851,48.284,-1.2484,0.016366,-0.016325,0.0038588,0.0048622,0,0,0.053499,0.048622,0.0011688,-0.0012319,43.265,111.89,-50.701,677.58,7.8313,7.4007,-2.0933,45.34,-21.529
0.25472,0.0088124,0.94617,-3.9699,0.28111,-13.991,-14.279,1.5477,-0.63779,0.58769,-0.24218,1.1194,-0.62883,49.873,-1.4651,0.0084751,-0.013859,0.0038588,0.0048622,0,0,0.053651,0.048622,0.00060526,-0.0010458,48.788,122.53,-53.532,686.12,8.5388,8.993,-2.26,44.875,-15.142
0.18011,0.0030896,0.94499,-3.3597,0.13271,-13.174,-13.314,0.80371,-0.68882,0.30518,-0.26155,1.1225,-1.5739,50.501,0.17694,0.0027034,-0.008396,0.0038532,0.0048548,0,0,0.053866,0.048622,0.00019307,-0.00063358,50.443,126.85,-55.511,685.97,9.0458,9.8206,-2.471,43.222,-8.3826
