accel_x,accel_y,accel_z,angle_ankle,angle_knee,angle_shank,angle_thigh,current_ankle,current_knee,current_qaxis_ankle,current_qaxis_knee,ground_reaction_force_vertical,gyro_x,gyro_y,gyro_z,impedance_current_desired_ankle,impedance_current_desired_knee,impedance_damping_ankle,impedance_damping_knee,impedance_equilibrium_angle_ankle,impedance_equilibrium_angle_knee,impedance_stiffness_ankle,impedance_stiffness_knee,impedance_torque_desired_ankle,impedance_torque_desired_knee,loadcell_force_sagittal,loadcell_force_x,loadcell_force_y,loadcell_force_z,loadcell_moment_x,loadcell_moment_y,loadcell_moment_z,velocity_ankle,velocity_knee
0.39207,-0.18397,0.49781,-1.4558,-0.063065,-14.614,-14.555,0.55568,-0.018432,0.211,-0.006999,0.16733,-1.5286,28.821,-10.727,0.011082,0.00072412,0.002344,0.0014611,0,4.4314,0.036635,0.045041,0.00056664,3.9122e-05,17.712,31.012,-5.9641,141.58,-1.4187,2.2395,-0.69335,-54.441,-0.37496
0.74417,-0.31529,0.82839,-3.9872,-0.14373,-28.977,-28.841,1.4491,-0.0087839,0.55023,-0.0033354,0.36281,-3.7351,57.189,-35.429,0.049349,-0.016523,0.0023473,0.0014148,0,4.4314,0.036635,0.045041,0.0025232,-0.00089267,35.311,64.248,-14.31,331.06,-2.7718,3.4189,-1.3804,-131.46,-1.2766
0.52161,-0.071882,0.77191,-5.4908,-0.089852,-24.855,-24.772,2.0408,-0.22269,0.77493,-0.084558,0.38622,-4.9614,50.291,-46.615,0.066129,-0.022707,0.0023506,0.0013771,0,4.4314,0.036635,0.045041,0.0033812,-0.0012268,28.092,59.938,-20.209,346.84,-1.2724,1.9217,-1.2931,-135.29,5.1252
0.30646,0.12505,1.1518,-7.5195,0.023912,-26.008,-26.039,3.1799,-0.59713,1.2075,-0.22674,0.43494,-6.0414,57.112,-52.965,0.075285,-0.019223,0.0023518,0.00137,0,4.4314,0.036635,0.045041,0.0038493,-0.0010386,24.87,66.61,-31.438,397.01,0.61202,1.6866,-1.5797,-134.14,9.8758
0.040316,0.14914,1.2782,-8.8745,0.13379,-24.068,-24.209,4.2352,-0.88675,1.6082,-0.33671,0.45789,-5.4362,59.031,-43.696,0.076888,-0.019722,0.0023494,0.0013624,0,4.4763,0.036635,0.045409,0.0039313,-0.0010655,16.392,64.372,-41.19,416.65,2.8171,0.70944,-1.8907,-109.57,7.7168
-0.030385,0.039299,1.2541,-10.248,0.20613,-23.916,-24.129,5.2886,-1.0816,2.0082,-0.41071,0.51282,-3.9187,64.126,-25.5,0.075539,-0.018993,0.0023308,0.0013482,0,4.5702,0.036635,0.046126,0.0038623,-0.0010261,10.327,65.717,-51.113,469.69,4.5367,-0.060609,-2.5102,-83.595,3.5158
0.045942,-0.043349,1.1588,-11.001,0.21599,-22.588,-22.811,5.7026,-1.0998,2.1654,-0.41762,0.56789,-1.7922,65.323,-9.7146,0.07164,-0.020305,0.002309,0.0013405,0,4.6084,0.036635,0.046373,0.003663,-0.001097,6.599,66.424,-57.091,517.25,5.4392,-0.46231,-3.0368,-54.65,-0.36872
0.17687,-0.076654,1.1331,-11.561,0.20478,-21.873,-22.085,5.7559,-1.1443,2.1856,-0.4345,0.64729,0.18548,67.716,-3.9582,0.065977,-0.020625,0.0022508,0.0013389,0,4.6154,0.036635,0.046414,0.0033734,-0.0011143,5.7622,71.899,-63.75,587.38,6.0844,0.037807,-3.508,-26.993,-0.46883
0.17026,-0.074248,1.0912,-11.715,0.20646,-20.733,-20.946,5.4934,-1.1649,2.0859,-0.44235,0.72302,1.2754,68.372,-5.8054,0.060479,-0.020802,0.002127,0.0013389,0,4.6154,0.036635,0.046414,0.0030923,-0.0011239,5.4911,77.969,-70.204,651.51,6.7414,1.1046,-3.7462,-5.9661,0.17807
0.063252,-0.0073633,1.0668,-11.66,0.20863,-19.627,-19.843,5.0171,-1.1856,1.9051,-0.45018,0.80846,1.8133,68.447,-5.8772,0.055234,-0.020706,0.0019156,0.0013389,0,4.6154,0.036635,0.046414,0.0028241,-0.0011187,4.6759,85.601,-78.988,723.98,7.7902,2.9091,-3.9853,10.764,0.043466
